ip,common_name,organization,country,locality,province,sandns,sanip,selfsigned
"15.205.237.64","chatsurfer.nro.mil","U.S. Government","US","","","chatsurfer.test.nro.mil|chatsurfer.nro.mil","","false"
"15.205.238.107","sso.nasic.af.mil","U.S. Government","US","","","sso.nasic.af.mil|sso","","false"
"15.205.241.83","scanoss.eagleeye.apps.cdl.af.mil","U.S. Government","US","","","*.eagleeye.apps.cdl.af.mil|scanoss.eagleeye.apps.cdl.af.mil","","false"
"15.205.243.140","cwbi-int4.sec.usace.army.mil","","","","","cwbi-int4.sec.usace.army.mil","","false"
"15.205.245.112","*.crowdstrike.mil","CrowdStrike, Inc.","US","Sunnyvale","California","*.crowdstrike.mil|crowdstrike.mil|*.us-gov-2.crowdstrike.mil|*.falcon.us-gov-2.crowdstrike.mil|*.cloudsink.crowdstrike.mil|us-gov-2.crowdstrike.mil|falcon.us-gov-2.crowdstrike.mil|cloudsink.crowdstrike.mil","","false"
"54.157.103.164","www.history.navy.mil","NAVAL HISTORY AND HERITAGE COMMAND","US","WASHINGTON","District of Columbia","www.history.navy.mil|history.navy.mil|www.hrnm.navy.mil|hrnm.navy.mil|qa-beta.history.navy.mil","","false"
"107.22.110.121","author.history.navy.mil","U.S. Government","US","","","author.history.navy.mil|www.author.history.navy.mil","","false"
"3.132.184.187","www.stage.tearline.mil","National Geospatial-Intelligence Agency","US","Springfield","Virginia","www.stage.tearline.mil","","false"
"54.147.245.29","www.history.navy.mil","NAVAL HISTORY AND HERITAGE COMMAND","US","WASHINGTON","District of Columbia","www.history.navy.mil|history.navy.mil|www.hrnm.navy.mil|hrnm.navy.mil|qa-beta.history.navy.mil","","false"
"54.237.69.29","ancmapper.army.mil","Department of the Army","US","Fairfield","California","ancmapper.army.mil","","false"
"54.237.189.64","ancmapper.army.mil","Department of the Army","US","Fairfield","California","ancmapper.army.mil","","false"
